"plate","true_rep","isolate","time","value","Blank_Replicate"
"Plate 3","Dulse 2","8",12,0.0523333333333333,0.091
"Plate 3","Dulse 2","8",14,0.0733333333333333,0.112666666666667
"Plate 3","Dulse 2","8",16,0.0633333333333333,0.0916666666666667
"Plate 3","Dulse 2","9",2,0.046,0.106666666666667
"Plate 3","Dulse 2","9",4,0.023,0.0906666666666667
"Plate 3","Dulse 2","9",6,0.017,0.126
"Plate 3","Dulse 2","9",8,0.0336666666666667,0.094
"Plate 3","Dulse 2","9",10,0.0296666666666667,0.0983333333333333
"Plate 3","Dulse 2","9",12,0.121666666666667,0.091
"Plate 3","Dulse 2","9",14,0.0766666666666667,0.112666666666667
"Plate 3","Dulse 2","9",16,0.075,0.0916666666666667
"Plate 4","Dulse 2","21",2,0.0356666666666667,0.146666666666667
"Plate 4","Dulse 2","21",4,0.0713333333333333,0.123666666666667
"Plate 4","Dulse 2","21",6,0.0698333333333333,0.145666666666667
"Plate 4","Dulse 2","21",8,0.035,0.122666666666667
"Plate 4","Dulse 2","21",10,0.0756666666666667,0.103333333333333
"Plate 4","Dulse 2","21",12,0.159333333333333,0.0976666666666667
"Plate 4","Dulse 2","21",14,0.152,0.104666666666667
"Plate 4","Dulse 2","21",16,0.160666666666667,0.0956666666666667
"Plate 4","Dulse 2","22",2,0.0513333333333333,0.146666666666667
"Plate 4","Dulse 2","22",4,0.0736666666666667,0.123666666666667
"Plate 4","Dulse 2","22",6,0.0438333333333333,0.145666666666667
"Plate 4","Dulse 2","22",8,0.0336666666666667,0.122666666666667
"Plate 4","Dulse 2","22",10,0.0536666666666667,0.103333333333333
"Plate 4","Dulse 2","22",12,0.110333333333333,0.0976666666666667
"Plate 4","Dulse 2","22",14,0.0806666666666667,0.104666666666667
"Plate 4","Dulse 2","22",16,0.115,0.0956666666666667
"Plate 4","Dulse 2","23",2,0.0176666666666667,0.146666666666667
"Plate 4","Dulse 2","23",4,0.024,0.123666666666667
"Plate 4","Dulse 2","23",6,0.026,0.145666666666667
"Plate 4","Dulse 2","23",8,0.0793333333333333,0.122666666666667
"Plate 4","Dulse 2","23",10,0.174666666666667,0.103333333333333
"Plate 4","Dulse 2","23",12,0.198,0.0976666666666667
"Plate 4","Dulse 2","23",14,0.111,0.104666666666667
"Plate 4","Dulse 2","23",16,0.102,0.0956666666666667
"Plate 4","Dulse 2","24",2,-0.029,0.146666666666667
"Plate 4","Dulse 2","24",4,0.0873333333333333,0.123666666666667
"Plate 4","Dulse 2","24",6,0.00233333333333335,0.145666666666667
"Plate 4","Dulse 2","24",8,-0.00133333333333334,0.122666666666667
"Plate 4","Dulse 2","24",10,0.017,0.103333333333333
"Plate 4","Dulse 2","24",12,0.033,0.0976666666666667
"Plate 4","Dulse 2","24",14,0.069,0.104666666666667
"Plate 4","Dulse 2","24",16,0.0246666666666667,0.0956666666666667
"Plate 4","Dulse 3","1",2,0.0653333333333333,0.12
"Plate 4","Dulse 3","1",4,0.016,0.120333333333333
"Plate 4","Dulse 3","1",6,0.0286666666666667,0.131333333333333
"Plate 4","Dulse 3","1",8,0.063,0.101
"Plate 4","Dulse 3","1",10,0.127,0.0946666666666667
"Plate 4","Dulse 3","1",12,0.254666666666667,0.0933333333333333
"Plate 4","Dulse 3","1",14,0.179333333333333,0.0933333333333333
"Plate 4","Dulse 3","1",16,0.186333333333333,0.094
"Plate 4","Dulse 3","10",2,0.082,0.12
"Plate 4","Dulse 3","10",4,0.0203333333333333,0.120333333333333
"Plate 4","Dulse 3","10",6,0.0233333333333333,0.131333333333333
"Plate 4","Dulse 3","10",8,0.132,0.101
"Plate 4","Dulse 3","10",10,0.165,0.0946666666666667
"Plate 4","Dulse 3","10",12,0.188333333333333,0.0933333333333333
"Plate 4","Dulse 3","10",14,0.164,0.0933333333333333
"Plate 4","Dulse 3","10",16,0.172,0.094
"Plate 4","Dulse 3","2",2,0.07,0.12
"Plate 4","Dulse 3","2",4,0.019,0.120333333333333
"Plate 4","Dulse 3","2",6,0.0286666666666667,0.131333333333333
"Plate 4","Dulse 3","2",8,0.062,0.101
"Plate 4","Dulse 3","2",10,0.156666666666667,0.0946666666666667
"Plate 4","Dulse 3","2",12,0.177666666666667,0.0933333333333333
"Plate 4","Dulse 3","2",14,0.158,0.0933333333333333
"Plate 4","Dulse 3","2",16,0.163666666666667,0.094
"Plate 4","Dulse 3","3",2,0.0246666666666667,0.12
"Plate 4","Dulse 3","3",4,0.0273333333333333,0.120333333333333
"Plate 4","Dulse 3","3",6,0.0426666666666667,0.131333333333333
"Plate 4","Dulse 3","3",8,0.0543333333333333,0.101
"Plate 4","Dulse 3","3",10,0.0493333333333333,0.0946666666666667
"Plate 4","Dulse 3","3",12,0.0833333333333333,0.0933333333333333
"Plate 4","Dulse 3","3",14,0.062,0.0933333333333333
"Plate 4","Dulse 3","3",16,0.0336666666666667,0.094
"Plate 4","Dulse 3","4",2,-0.00766666666666667,0.12
"Plate 4","Dulse 3","4",4,-0.000666666666666663,0.120333333333333
"Plate 4","Dulse 3","4",6,0.00833333333333333,0.131333333333333
"Plate 4","Dulse 3","4",8,0.0343333333333333,0.101
"Plate 4","Dulse 3","4",10,0.0386666666666667,0.0946666666666667
"Plate 4","Dulse 3","4",12,0.0573333333333333,0.0933333333333333
"Plate 4","Dulse 3","4",14,0.0506666666666667,0.0933333333333333
"Plate 4","Dulse 3","4",16,0.0536666666666667,0.094
"Plate 4","Dulse 3","5",2,0.0285,0.12
"Plate 4","Dulse 3","5",4,0.035,0.120333333333333
